Mã Sản Phẩm,Tên sản phẩm,Bán chạy,Danh mục,Thể Loại,Đơn vị,Kích thước,Chieu_Dai_Max (mm),Chieu_Rong_Max (mm),Chieu_Cao_Max (mm),Kich_Thuoc_Hop_Tho (mm),Khối lượng (m3),Trọng lượng (tấn),Đá xanh đen,Đá xanh rêu,Đá xám BĐ,Đá GRN đen Ấn Độ,Ghi chú,Đá xanh Bình Định,Đá trắng Yên Bái,Có ảnh
MD45,Mộ đơn,,An Tâm,Mộ,ngôi,KT: 970x1570mm,1570,970,1570,,0.7,2.100,29867000,39200000,44265000,94706000,,48382000,33600000,TRUE
MD46,Mộ đơn,,Trường Tồn,Mộ,ngôi,KT: 1270x2250mm,2250,1270,2250,,1.3,3.900,61176000,80294000,88730000,184000000,,96984000,68824000,TRUE
MD47,Mộ đơn,,An Tâm,Mộ,ngôi,KT: 970x1550mm,1550,970,1550,,0.7,2.100,29867000,39200000,44265000,94706000,,48382000,33600000,TRUE
MD48,Mộ đơn,,An Tâm,Mộ,ngôi,KT: 970x1470mm,1470,970,1470,,0.5,1.500,21333000,28000000,31618000,67647000,,34559000,24000000,TRUE
MD49,Mộ đơn,,An Tâm,Mộ,ngôi,KT: 970x1550mm,1550,970,1550,,0.8,2.400,34133000,44800000,50588000,108235000,,55294000,38400000,TRUE
MD50,Mộ lục giác,,An Tâm,Mộ,ngôi,KT: 1270mm,1270,,,,0.58,1.740,24747000,32480000,36676000,78471000,,40088000,27840000,TRUE
MD51,Mộ đơn,,Trường Tồn,Mộ,ngôi,KT: 1970x970mm,1970,970,,,0.9,2.700,42353000,55588000,61429000,127385000,,67143000,47647000,TRUE
MD52,Mộ đơn,,Trường Tồn,Mộ,ngôi,KT: 2550x1270mm,2550,1270,,,1.3,3.900,61176000,80294000,88730000,184000000,,96984000,68824000,TRUE
MD53,mộ mái,,An Tâm,Mộ,,,,,,,,0.000,0,0,0,0,,0,0,TRUE
MD57,mộ công giáo,,An Tâm,Mộ,,,,,,,0.6,1.800,25600000,33600000,37941000,81176000,,41471000,28800000,TRUE
MD59,Mộ đơn,,An Tâm,Mộ,ngôi,KT: 1270x810mm,1270,810,810,,,0.000,0,0,0,0,,0,0,TRUE
MD60,Mộ đơn,,An Tâm,Mộ,ngôi,KT: 1470x890mm,1470,890,,,,0.000,0,0,0,0,,0,0,TRUE
MD61,Mộ đơn,,Trường Tồn,Mộ,ngôi,KT: 1470x890mm,1470,890,,,,0.000,0,0,0,0,,0,0,TRUE
MD62,Mộ đơn,,Trường Tồn,Mộ,ngôi,KT: 1470x890mm,1470,890,,,,0.000,0,0,0,0,,0,0,TRUE
MD63,Mộ đơn,,Trường Tồn,Mộ,ngôi,KT: 1270x810mm,1270,810,810,,,0.000,0,0,0,0,,0,0,TRUE
MD64,Mộ đơn,,An Tâm,Mộ,ngôi,KT: 2290x1270mm,2290,1270,,,0.71,2.130,30293000,39760000,44897000,96059000,,49074000,34080000,TRUE
MD65,Mộ đơn,,Trường Tồn,Mộ,,KT: 1470x890mm,1470,890,,,,0.000,0,0,0,0,,0,0,TRUE
MD66,Mộ đơn,,Trường Tồn,Mộ,ngôi,KT: 1170x790mm,1170,790,790,,,0.000,0,0,0,0,,0,0,TRUE
MD67,Mộ mái vòm,,Trường Tồn,Mộ,ngôi,KT: 1270x810mm,1270,810,810,,,0.000,0,0,0,0,,0,0,TRUE
MD68,Mộ đơn,,Trường Tồn,Mộ,ngôi,KT: 1470x890mm,1470,890,,,,0.000,0,0,0,0,,0,0,TRUE
MD69,Mộ tam cấp mái vòm,,Trường Tồn,Mộ,ngôi,KT: 1470x890mm,1470,890,,,,0.000,0,0,0,0,,0,0,TRUE
MM07,MỘ MÁI,Bán chạy,An Tâm,Mộ,ngôi,KT: D1270xR810xC1860mm,1270,810,1860,,0.657,1.971,28032000,36792000,41546000,88888000,"Đế ghép từ 4 khối 
Nắp mộ liền khối.",45410000,31536000,TRUE
MN02,Mộ ngai - KT: 2350x1270x1545mm,Bán chạy,Trường Tồn,Mộ,ngôi,KT: D2350xR1270xC1545mm,2350,1270,1545,,1.028,3.084,48376000,63494000,70165000,145502000,"Đế mộ ghép 4 khối 
Nắp mộ liền khối",76692000,54424000,TRUE
MN04,Mộ ngai - KT: 1070x610x960mm,Bán chạy,An Tâm,Mộ,ngôi,KT: D1070xR610xC960mm,1070,610,960,,0.212,0.636,9045000,11872000,13406000,28682000,"Đế mộ ghép 4 khối
 Nắp mộ liền khối",14653000,10176000,TRUE
MN07,mộ ngai,,An Tâm,Mộ,,,,,,,0.43,1.290,18347000,24080000,27191000,58176000,,29721000,20640000,TRUE
MN08,mộ ngai,,An Tâm,Mộ,,,,,,,0.43,1.290,18347000,24080000,27191000,58176000,,29721000,20640000,TRUE
MN09,mộ ngai,,An Tâm,Mộ,,,,,,,0.7,2.100,29867000,39200000,44265000,94706000,,48382000,33600000,TRUE
MN10,mộ ngai,,An Tâm,Mộ,,,,,,,0.8,2.400,34133000,44800000,50588000,108235000,,55294000,38400000,TRUE
MT01,Mộ tròn - KT:1470 mm,,Trường Tồn,Mộ,ngôi,KT: DK1470xC1270 mm,1470,,1270,,0.949,2.847,44659000,58615000,64773000,134320000,"Đế, Thân, Nắp ghép 4 khối",70798000,50241000,TRUE
MT03,Mộ tròn - KT:1360mm,Bán chạy,Trường Tồn,Mộ,ngôi,KT: DK1360xC1305 mm,1360,,1305,,1.323,3.969,62259000,81715000,90300000,187255000,liền khối các thớt,98700000,70041000,TRUE
MT05,,,Trường Tồn,Mộ,,,,,,,0.86,2.580,40471000,53118000,58698000,121723000,,64159000,45529000,TRUE
MT07,Mộ tròn - KT:3200mm,,Trường Tồn,Mộ,ngôi,KT: D1270xR810xC890mm,1270,810,890,,3.692,11.076,173741000,228035000,251994000,522560000,"Đế, Thân, Nắp ghép 6 khối",275435000,195459000,TRUE
NQ01,cổng 2 trụ,Bán chạy,Trường Tồn,Cổng,bộ,- Thân cột chính 250x250 - Chiều cao cột chính: 1830mm,,250,1830,,0.27,0.810,12706000,16676000,18429000,38215000,,20143000,14294000,TRUE
NQ02,cổng 2 trụ,Bán chạy,An Tâm,Cổng,bộ,- Thân cột chính 200x200 - Chiều cao cột chính: 1390mm,,200,1390,,0.153,0.459,6528000,8568000,9675000,20700000,,10575000,7344000,TRUE
NQ04,Cổng nhất quan,,An Tâm,Cổng,bộ,Thân cột 200mm Cao 1370mm,,200,1370,,0.4,1.200,17067000,22400000,25294000,54118000,,27647000,19200000,TRUE
TP01,Trấn phong,,An Tâm,Cuốn thư,bộ,KT: 1550x1270mm,,,,,0.4,1.200,17067000,22400000,25294000,54118000,,27647000,19200000,TRUE
TP02,Trấn phong,,An Tâm,Cuốn thư,bộ,KT: 1550x1270mm,,,,,0.4,1.200,17067000,22400000,25294000,54118000,,27647000,19200000,TRUE
TP08,Cuốn thư 1470,,Trường Tồn,Cuốn thư,bộ,Thân cuốn thư: 1350x740x150 mm Đế cuốn thư: 1470x300x230mm,,,,,0.251,0.753,11812000,15503000,17132000,35526000,,18725000,13288000,TRUE
TP11,Cuốn thư 1350,,Trường Tồn,Cuốn thư,bộ,Thân cuốn thư: 1180x900x150 mm Đế cuốn thư: 1350x220x300mm,,,,,0.3,0.900,14118000,18529000,20476000,42462000,,22381000,15882000,TRUE
TQ01,Cổng tứ trụ,Bán chạy,An Tâm,Cổng,bộ,- Thân cột chính: 250x250mm - Thân cột phụ: 200x200mm - Đế cột chính: 350x350mm - Đế cột phụ: 300x300mm - Chiều cao cột chính: 1860mm,,,1860,,0.57,1.710,24320000,31920000,36044000,77118000,,39397000,27360000,TRUE
TQ02,Cổng tứ trụ,Bán chạy,Trường Tồn,Cổng,bộ,- Thân cột chính: 300x300mm - Thân cột phụ: 250x250mm - Đế cột chính:400x400mm - Đế cột phụ: 350x350mm - Chiều cao cột chính: 2600mm,,,2600,,1.06,3.180,49882000,65471000,72349000,150031000,,79079000,56118000,TRUE
TQ03,Cổng tứ trụ mái,,Trường Tồn,Cổng,bộ,- Thân cột chính: 300x300mm - Thân cột phụ: 250x250mm - Đế cột chính:400x400mm - Đế cột phụ: 350x350mm - Chiều cao cột chính: 2380mm,,,2380,,2,6.000,94118000,123529000,136508000,283077000,,149206000,105882000,TRUE
TQ04,Cổng tứ trụ,,Trường Tồn,Cổng,bộ,- Thân cột chính: 300x300mm - Thân cột phụ: 250x250mm - Đế cột chính:360x360mm - Đế cột phụ: 310x310mm - Chiều cao cột chính: 2360mm,,,2360,,0.785,2.355,36941000,48485000,53579000,111108000,,58563000,41559000,TRUE
